ff_index,ff_name,timing_score,is_non_scan
0,U_g678,0,0
1,U_g332,24,0
2,U_g123,33,0
3,U_g207,14,0
4,U_g695,0,0
5,U_g461,12,0
6,U_g18,26,0
7,U_g292,0,0
8,U_g331,5,0
9,U_g689,0,0
10,U_g24,23,0
11,U_g465,21,0
12,U_g84,20,0
13,U_g291,1,0
14,U_g676,15,0
15,U_g622,8,0
16,U_g117,6,0
17,U_g278,14,0
18,U_g128,9,0
19,U_g598,6,0
20,U_g554,23,0
21,U_g496,18,0
22,U_g179,19,0
23,U_g48,22,0
24,U_g590,19,0
25,U_g551,23,0
26,U_g682,0,0
27,U_g11,23,0
28,U_g606,9,0
29,U_g188,19,0
30,U_g646,10,0
31,U_g327,5,0
32,U_g361,20,0
33,U_g289,1,0
34,U_g398,16,0
35,U_g684,0,0
36,U_g619,7,0
37,U_g208,13,0
38,U_g248,0,0
39,U_g390,16,0
40,U_g625,9,0
41,U_g681,0,0
42,U_g437,13,0
43,U_g276,13,0
44,U_g3,22,0
45,U_g323,5,0
46,U_g224,1,0
47,U_g685,0,0
48,U_g43,13,0
49,U_g157,13,0
50,U_g282,23,0
51,U_g697,0,0
52,U_g206,14,0
53,U_g449,11,0
54,U_g118,5,0
55,U_g528,21,0
56,U_g284,2,0
57,U_g426,9,0
58,U_g634,7,0
59,U_g669,17,0
60,U_g520,21,0
61,U_g281,14,0
62,U_g175,12,0
63,U_g15,23,0
64,U_g631,11,0
65,U_g69,21,0
66,U_g693,0,0
67,U_g337,2,0
68,U_g457,14,0
69,U_g486,3,0
70,U_g471,0,0
71,U_g328,5,0
72,U_g285,1,0
73,U_g418,12,0
74,U_g402,12,0
75,U_g297,21,0
76,U_g212,2,0
77,U_g410,11,0
78,U_g430,9,0
79,U_g33,26,0
80,U_g662,1,0
81,U_g453,14,0
82,U_g269,21,0
83,U_g574,19,0
84,U_g441,14,0
85,U_g664,0,0
86,U_g349,11,0
87,U_g211,22,0
88,U_g586,18,0
89,U_g571,13,0
90,U_g29,26,0
91,U_g326,6,0
92,U_g698,0,0
93,U_g654,12,0
94,U_g293,21,0
95,U_g690,0,0
96,U_g445,11,0
97,U_g374,14,0
98,U_g6,25,0
99,U_g687,0,0
100,U_g357,12,0
101,U_g386,16,0
102,U_g504,22,0
103,U_g665,0,0
104,U_g166,13,0
105,U_g541,21,0
106,U_g74,20,0
107,U_g338,11,0
108,U_g696,0,0
109,U_g516,21,0
110,U_g536,21,0
111,U_g683,0,0
112,U_g353,10,0
113,U_g545,22,0
114,U_g254,1,0
115,U_g341,11,0
116,U_g290,0,0
117,U_g2,26,0
118,U_g287,1,0
119,U_g336,32,0
120,U_g345,11,0
121,U_g628,10,0
122,U_g679,0,0
123,U_g28,25,0
124,U_g688,0,0
125,U_g283,23,0
126,U_g613,6,0
127,U_g10,26,0
128,U_g14,26,0
129,U_g680,0,0
130,U_g143,18,0
131,U_g672,14,0
132,U_g667,0,0
133,U_g366,17,0
134,U_g279,14,0
135,U_g492,19,0
136,U_g170,18,0
137,U_g686,0,0
138,U_g288,1,0
139,U_g638,0,0
140,U_g602,2,0
141,U_g642,8,0
142,U_g280,13,0
143,U_g663,0,0
144,U_g610,4,0
145,U_g148,15,0
146,U_g209,14,0
147,U_g675,0,0
148,U_g478,0,0
149,U_g122,5,0
150,U_g54,21,0
151,U_g594,18,0
152,U_g286,1,0
153,U_g489,2,0
154,U_g616,6,0
155,U_g79,21,0
156,U_g218,1,0
157,U_g242,1,0
158,U_g578,18,0
159,U_g184,13,0
160,U_g119,5,0
161,U_g668,21,0
162,U_g139,10,0
163,U_g422,14,0
164,U_g210,22,0
165,U_g394,15,0
166,U_g230,1,0
167,U_g25,23,0
168,U_g204,13,0
169,U_g658,2,0
170,U_g650,11,0
171,U_g378,16,0
172,U_g508,22,0
173,U_g548,22,0
174,U_g370,15,0
175,U_g406,14,0
176,U_g236,1,0
177,U_g500,22,0
178,U_g205,14,0
179,U_g197,21,0
180,U_g666,0,0
181,U_g114,5,0
182,U_g524,21,0
183,U_g260,0,0
184,U_g111,15,0
185,U_g131,9,0
186,U_g7,22,0
187,U_g19,23,0
188,U_g677,0,0
189,U_g582,18,0
190,U_g485,22,0
191,U_g699,1,0
192,U_g193,13,0
193,U_g135,9,0
194,U_g382,15,0
195,U_g414,10,0
196,U_g434,11,0
197,U_g266,2,0
198,U_g49,21,0
199,U_g152,18,0
200,U_g692,0,0
201,U_g277,14,0
202,U_g127,32,0
203,U_g161,19,0
204,U_g512,22,0
205,U_g532,21,0
206,U_g64,21,0
207,U_g694,0,0
208,U_g691,0,0
209,U_g1,24,0
210,U_g59,21,0
