ff_instance,min_slack
_23687_,9999.0
_23688_,9999.0
_23689_,9999.0
_23690_,9999.0
_23691_,9999.0
_23692_,9999.0
_23693_,9999.0
_23694_,9999.0
_23695_,9999.0
_23696_,9999.0
_23697_,9999.0
_23698_,9999.0
_23699_,9999.0
_23700_,9999.0
_23701_,9999.0
_23702_,9999.0
_23703_,9999.0
_23704_,9999.0
_23705_,9999.0
_23706_,9999.0
_23707_,9999.0
_23708_,9999.0
_23709_,9999.0
_23710_,9999.0
_23711_,9999.0
_23712_,9999.0
_23713_,9999.0
_23714_,9999.0
_23715_,9999.0
_23716_,9999.0
_23717_,9999.0
_23718_,9999.0
_23719_,9999.0
_23720_,9999.0
_23721_,9999.0
_23722_,9999.0
_23723_,9999.0
_23724_,9999.0
_23725_,9999.0
_23726_,9999.0
_23727_,9999.0
_23728_,9999.0
_23729_,9999.0
_23730_,9999.0
_23731_,9999.0
_23732_,9999.0
_23733_,9999.0
_23734_,9999.0
_23735_,9999.0
_23736_,9999.0
_23737_,9999.0
_23738_,9999.0
_23739_,9999.0
_23740_,9999.0
_23741_,9999.0
_23742_,9999.0
_23743_,9999.0
_23744_,9999.0
_23745_,9999.0
_23746_,9999.0
_23747_,9999.0
_23748_,9999.0
_23749_,9999.0
_23750_,9999.0
_23751_,9999.0
_23752_,9999.0
_23753_,9999.0
_23754_,9999.0
_23755_,9999.0
_23756_,9999.0
_23757_,9999.0
_23758_,9999.0
_23759_,9999.0
_23760_,9999.0
_23761_,9999.0
_23762_,9999.0
_23763_,9999.0
_23764_,9999.0
_23765_,9999.0
_23766_,9999.0
_23767_,9999.0
_23768_,9999.0
_23769_,9999.0
_23770_,9999.0
_23771_,9999.0
_23772_,9999.0
_23773_,9999.0
_23774_,9999.0
_23775_,9999.0
_23776_,9999.0
_23777_,9999.0
_23778_,9999.0
_23779_,9999.0
_23780_,9999.0
_23781_,9999.0
_23782_,9999.0
_23783_,9999.0
_23784_,9999.0
_23785_,9999.0
_23786_,9999.0
_23787_,9999.0
_23788_,9999.0
_23789_,9999.0
_23790_,9999.0
_23791_,9999.0
_23792_,9999.0
_23793_,9999.0
_23794_,9999.0
_23795_,9999.0
_23796_,9999.0
_23797_,9999.0
_23798_,9999.0
_23799_,9999.0
_23800_,9999.0
_23801_,9999.0
_23802_,9999.0
_23803_,9999.0
_23804_,9999.0
_23805_,9999.0
_23806_,9999.0
_23807_,9999.0
_23808_,9999.0
_23809_,9999.0
_23810_,9999.0
_23811_,9999.0
_23812_,9999.0
_23813_,9999.0
_23814_,9999.0
_23815_,9999.0
_23816_,9999.0
_23817_,9999.0
_23818_,9999.0
_23819_,9999.0
_23820_,9999.0
_23821_,9999.0
_23822_,9999.0
_23823_,9999.0
_23824_,9999.0
_23825_,9999.0
_23826_,9999.0
_23827_,9999.0
_23828_,9999.0
_23829_,9999.0
_23830_,9999.0
_23831_,9999.0
_23832_,9999.0
_23833_,9999.0
_23834_,9999.0
