ff_instance,min_slack
_676_,9999.0
_677_,9999.0
_678_,9999.0
_679_,9999.0
_680_,9999.0
_681_,9999.0
_682_,9999.0
_683_,9999.0
_684_,9999.0
_685_,9999.0
_686_,9999.0
_687_,9999.0
_688_,9999.0
_689_,9999.0
_690_,9999.0
_691_,9999.0
_692_,9999.0
_693_,9999.0
_694_,9999.0
_695_,9999.0
_696_,9999.0
_697_,9999.0
_698_,9999.0
_699_,9999.0
_700_,9999.0
_701_,9999.0
_702_,9999.0
_703_,9999.0
_704_,9999.0
_705_,9999.0
_706_,9999.0
_707_,9999.0
_708_,9999.0
_709_,9999.0
_710_,9999.0
_711_,9999.0
_712_,9999.0
_713_,9999.0
_714_,9999.0
_715_,9999.0
_716_,9999.0
_717_,9999.0
_718_,9999.0
_719_,9999.0
_720_,9999.0
_721_,9999.0
_722_,9999.0
_723_,9999.0
_724_,9999.0
_725_,9999.0
_726_,9999.0
_727_,9999.0
_728_,9999.0
_729_,9999.0
_730_,9999.0
_731_,9999.0
_732_,9999.0
_733_,9999.0
_734_,9999.0
_735_,9999.0
_736_,9999.0
_737_,9999.0
_738_,9999.0
_739_,9999.0
_740_,9999.0
_741_,9999.0
_742_,9999.0
_743_,9999.0
_744_,9999.0
_745_,9999.0
_746_,9999.0
_747_,9999.0
_748_,9999.0
_749_,9999.0
_750_,9999.0
_751_,9999.0
_752_,9999.0
_753_,9999.0
_754_,9999.0
_755_,9999.0
_756_,9999.0
_757_,9999.0
_758_,9999.0
_759_,9999.0
_760_,9999.0
_761_,9999.0
_762_,9999.0
_763_,9999.0
_764_,9999.0
_765_,9999.0
