ff_instance,min_slack
_565_,9999.0
_566_,9999.0
_567_,9999.0
_568_,9999.0
_569_,9999.0
_570_,9999.0
_571_,9999.0
_572_,9999.0
_573_,9999.0
_574_,9999.0
_575_,9999.0
_576_,9999.0
_577_,9999.0
_578_,9999.0
_579_,9999.0
_580_,9999.0
_581_,9999.0
_582_,9999.0
_583_,9999.0
_584_,9999.0
_585_,9999.0
_586_,9999.0
_587_,9999.0
_588_,9999.0
_589_,9999.0
_590_,9999.0
_591_,9999.0
_592_,9999.0
_593_,9999.0
_594_,9999.0
_595_,9999.0
_596_,9999.0
_597_,9999.0
_598_,9999.0
_599_,9999.0
_600_,9999.0
_601_,9999.0
_602_,9999.0
_603_,9999.0
_604_,9999.0
_605_,9999.0
_606_,9999.0
_607_,9999.0
_608_,9999.0
_609_,9999.0
