ff_instance,min_slack
DFF_0,9999.0
DFF_1,9999.0
DFF_10,9999.0
DFF_100,9999.0
DFF_101,9999.0
DFF_102,9999.0
DFF_103,9999.0
DFF_104,9999.0
DFF_105,9999.0
DFF_106,9999.0
DFF_107,9999.0
DFF_108,9999.0
DFF_109,9999.0
DFF_11,9999.0
DFF_110,9999.0
DFF_111,9999.0
DFF_112,9999.0
DFF_113,9999.0
DFF_114,9999.0
DFF_115,9999.0
DFF_116,9999.0
DFF_117,9999.0
DFF_118,9999.0
DFF_119,9999.0
DFF_12,9999.0
DFF_120,9999.0
DFF_121,9999.0
DFF_122,9999.0
DFF_123,9999.0
DFF_124,9999.0
DFF_125,9999.0
DFF_126,9999.0
DFF_127,9999.0
DFF_128,9999.0
DFF_129,9999.0
DFF_13,9999.0
DFF_130,9999.0
DFF_131,9999.0
DFF_132,9999.0
DFF_133,9999.0
DFF_134,9999.0
DFF_135,9999.0
DFF_136,9999.0
DFF_137,9999.0
DFF_138,9999.0
DFF_139,9999.0
DFF_14,9999.0
DFF_140,9999.0
DFF_141,9999.0
DFF_142,9999.0
DFF_143,9999.0
DFF_144,9999.0
DFF_145,9999.0
DFF_146,9999.0
DFF_147,9999.0
DFF_148,9999.0
DFF_149,9999.0
DFF_15,9999.0
DFF_150,9999.0
DFF_151,9999.0
DFF_152,9999.0
DFF_153,9999.0
DFF_154,9999.0
DFF_155,9999.0
DFF_156,9999.0
DFF_157,9999.0
DFF_158,9999.0
DFF_159,9999.0
DFF_16,9999.0
DFF_160,9999.0
DFF_161,9999.0
DFF_162,9999.0
DFF_163,9999.0
DFF_164,9999.0
DFF_165,9999.0
DFF_166,9999.0
DFF_167,9999.0
DFF_168,9999.0
DFF_169,9999.0
DFF_17,9999.0
DFF_170,9999.0
DFF_171,9999.0
DFF_172,9999.0
DFF_173,9999.0
DFF_174,9999.0
DFF_175,9999.0
DFF_176,9999.0
DFF_177,9999.0
DFF_178,9999.0
DFF_179,9999.0
DFF_18,9999.0
DFF_180,9999.0
DFF_181,9999.0
DFF_182,9999.0
DFF_183,9999.0
DFF_184,9999.0
DFF_185,9999.0
DFF_186,9999.0
DFF_187,9999.0
DFF_188,9999.0
DFF_189,9999.0
DFF_19,9999.0
DFF_190,9999.0
DFF_191,9999.0
DFF_192,9999.0
DFF_193,9999.0
DFF_194,9999.0
DFF_195,9999.0
DFF_196,9999.0
DFF_197,9999.0
DFF_198,9999.0
DFF_199,9999.0
DFF_2,9999.0
DFF_20,9999.0
DFF_200,9999.0
DFF_201,9999.0
DFF_202,9999.0
DFF_203,9999.0
DFF_204,9999.0
DFF_205,9999.0
DFF_206,9999.0
DFF_207,9999.0
DFF_208,9999.0
DFF_209,9999.0
DFF_21,9999.0
DFF_210,9999.0
DFF_211,9999.0
DFF_212,9999.0
DFF_213,9999.0
DFF_214,9999.0
DFF_215,9999.0
DFF_216,9999.0
DFF_217,9999.0
DFF_218,9999.0
DFF_219,9999.0
DFF_22,9999.0
DFF_220,9999.0
DFF_221,9999.0
DFF_222,9999.0
DFF_223,9999.0
DFF_224,9999.0
DFF_225,9999.0
DFF_226,9999.0
DFF_227,9999.0
DFF_228,9999.0
DFF_229,9999.0
DFF_23,9999.0
DFF_230,9999.0
DFF_231,9999.0
DFF_232,9999.0
DFF_233,9999.0
DFF_234,9999.0
DFF_235,9999.0
DFF_236,9999.0
DFF_237,9999.0
DFF_238,9999.0
DFF_239,9999.0
DFF_24,9999.0
DFF_240,9999.0
DFF_241,9999.0
DFF_242,9999.0
DFF_243,9999.0
DFF_244,9999.0
DFF_245,9999.0
DFF_246,9999.0
DFF_247,9999.0
DFF_248,9999.0
DFF_249,9999.0
DFF_25,9999.0
DFF_250,9999.0
DFF_251,9999.0
DFF_252,9999.0
DFF_253,9999.0
DFF_254,9999.0
DFF_255,9999.0
DFF_256,9999.0
DFF_257,9999.0
DFF_258,9999.0
DFF_259,9999.0
DFF_26,9999.0
DFF_260,9999.0
DFF_261,9999.0
DFF_262,9999.0
DFF_263,9999.0
DFF_264,9999.0
DFF_265,9999.0
DFF_266,9999.0
DFF_267,9999.0
DFF_268,9999.0
DFF_269,9999.0
DFF_27,9999.0
DFF_270,9999.0
DFF_271,9999.0
DFF_272,9999.0
DFF_273,9999.0
DFF_274,9999.0
DFF_275,9999.0
DFF_276,9999.0
DFF_277,9999.0
DFF_278,9999.0
DFF_279,9999.0
DFF_28,9999.0
DFF_280,9999.0
DFF_281,9999.0
DFF_282,9999.0
DFF_283,9999.0
DFF_284,9999.0
DFF_285,9999.0
DFF_286,9999.0
DFF_287,9999.0
DFF_288,9999.0
DFF_289,9999.0
DFF_29,9999.0
DFF_290,9999.0
DFF_291,9999.0
DFF_292,9999.0
DFF_293,9999.0
DFF_294,9999.0
DFF_295,9999.0
DFF_296,9999.0
DFF_297,9999.0
DFF_298,9999.0
DFF_299,9999.0
DFF_3,9999.0
DFF_30,9999.0
DFF_300,9999.0
DFF_301,9999.0
DFF_302,9999.0
DFF_303,9999.0
DFF_304,9999.0
DFF_305,9999.0
DFF_306,9999.0
DFF_307,9999.0
DFF_308,9999.0
DFF_309,9999.0
DFF_31,9999.0
DFF_310,9999.0
DFF_311,9999.0
DFF_312,9999.0
DFF_313,9999.0
DFF_314,9999.0
DFF_315,9999.0
DFF_316,9999.0
DFF_317,9999.0
DFF_318,9999.0
DFF_319,9999.0
DFF_32,9999.0
DFF_320,9999.0
DFF_321,9999.0
DFF_322,9999.0
DFF_323,9999.0
DFF_324,9999.0
DFF_325,9999.0
DFF_326,9999.0
DFF_327,9999.0
DFF_328,9999.0
DFF_329,9999.0
DFF_33,9999.0
DFF_330,9999.0
DFF_331,9999.0
DFF_332,9999.0
DFF_333,9999.0
DFF_334,9999.0
DFF_335,9999.0
DFF_336,9999.0
DFF_337,9999.0
DFF_338,9999.0
DFF_339,9999.0
DFF_34,9999.0
DFF_340,9999.0
DFF_341,9999.0
DFF_342,9999.0
DFF_343,9999.0
DFF_344,9999.0
DFF_345,9999.0
DFF_346,9999.0
DFF_347,9999.0
DFF_348,9999.0
DFF_349,9999.0
DFF_35,9999.0
DFF_350,9999.0
DFF_351,9999.0
DFF_352,9999.0
DFF_353,9999.0
DFF_354,9999.0
DFF_355,9999.0
DFF_356,9999.0
DFF_357,9999.0
DFF_358,9999.0
DFF_359,9999.0
DFF_36,9999.0
DFF_360,9999.0
DFF_361,9999.0
DFF_362,9999.0
DFF_363,9999.0
DFF_364,9999.0
DFF_365,9999.0
DFF_366,9999.0
DFF_367,9999.0
DFF_368,9999.0
DFF_369,9999.0
DFF_37,9999.0
DFF_370,9999.0
DFF_371,9999.0
DFF_372,9999.0
DFF_373,9999.0
DFF_374,9999.0
DFF_375,9999.0
DFF_376,9999.0
DFF_377,9999.0
DFF_378,9999.0
DFF_379,9999.0
DFF_38,9999.0
DFF_380,9999.0
DFF_381,9999.0
DFF_382,9999.0
DFF_383,9999.0
DFF_384,9999.0
DFF_385,9999.0
DFF_386,9999.0
DFF_387,9999.0
DFF_388,9999.0
DFF_389,9999.0
DFF_39,9999.0
DFF_390,9999.0
DFF_391,9999.0
DFF_392,9999.0
DFF_393,9999.0
DFF_394,9999.0
DFF_395,9999.0
DFF_396,9999.0
DFF_397,9999.0
DFF_398,9999.0
DFF_399,9999.0
DFF_4,9999.0
DFF_40,9999.0
DFF_400,9999.0
DFF_401,9999.0
DFF_402,9999.0
DFF_403,9999.0
DFF_404,9999.0
DFF_405,9999.0
DFF_406,9999.0
DFF_407,9999.0
DFF_408,9999.0
DFF_409,9999.0
DFF_41,9999.0
DFF_410,9999.0
DFF_411,9999.0
DFF_412,9999.0
