ff_instance,min_slack
_873_,9999.0
_874_,9999.0
_875_,9999.0
_876_,9999.0
_877_,9999.0
_878_,9999.0
_879_,9999.0
_880_,9999.0
_881_,9999.0
_882_,9999.0
_883_,9999.0
_884_,9999.0
_885_,9999.0
_886_,9999.0
_887_,9999.0
_888_,9999.0
_889_,9999.0
_890_,9999.0
_891_,9999.0
_892_,9999.0
_893_,9999.0
_894_,9999.0
_895_,9999.0
_896_,9999.0
_897_,9999.0
_898_,9999.0
_899_,9999.0
_900_,9999.0
_901_,9999.0
_902_,9999.0
_903_,9999.0
_904_,9999.0
_905_,9999.0
_906_,9999.0
_907_,9999.0
_908_,9999.0
_909_,9999.0
_910_,9999.0
_911_,9999.0
_912_,9999.0
_913_,9999.0
_914_,9999.0
_915_,9999.0
_916_,9999.0
_917_,9999.0
_918_,9999.0
_919_,9999.0
_920_,9999.0
_921_,9999.0
_922_,9999.0
_923_,9999.0
_924_,9999.0
_925_,9999.0
_926_,9999.0
_927_,9999.0
_928_,9999.0
_929_,9999.0
_930_,9999.0
_931_,9999.0
_932_,9999.0
_933_,9999.0
_934_,9999.0
_935_,9999.0
_936_,9999.0
_937_,9999.0
_938_,9999.0
_939_,9999.0
