ff_index,ff_name,timing_score,is_non_scan
0,U_WX485,47,0
1,U_WX487,52,0
2,U_WX489,54,0
3,U_WX491,54,0
4,U_WX493,54,0
5,U_WX495,54,0
6,U_WX497,56,0
7,U_WX499,56,0
8,U_WX501,44,0
9,U_WX503,44,0
10,U_WX505,44,0
11,U_WX507,44,0
12,U_WX509,44,0
13,U_WX511,44,0
14,U_WX513,41,0
15,U_WX515,49,0
16,U_WX517,33,0
17,U_WX519,48,0
18,U_WX521,43,0
19,U_WX523,43,0
20,U_WX525,51,0
21,U_WX527,52,0
22,U_WX529,52,0
23,U_WX531,47,0
24,U_WX533,47,0
25,U_WX535,51,0
26,U_WX537,52,0
27,U_WX539,51,0
28,U_WX541,51,0
29,U_WX543,48,0
30,U_WX545,48,0
31,U_WX547,51,0
32,U_WX645,71,0
33,U_WX647,73,0
34,U_WX649,73,0
35,U_WX651,72,0
36,U_WX653,72,0
37,U_WX655,71,0
38,U_WX657,71,0
39,U_WX659,71,0
40,U_WX661,68,0
41,U_WX663,68,0
42,U_WX665,72,0
43,U_WX667,71,0
44,U_WX669,67,0
45,U_WX671,67,0
46,U_WX673,71,0
47,U_WX675,65,0
48,U_WX677,71,0
49,U_WX679,67,0
50,U_WX681,72,0
51,U_WX683,84,0
52,U_WX685,68,0
53,U_WX687,70,0
54,U_WX689,69,0
55,U_WX691,71,0
56,U_WX693,74,0
57,U_WX695,74,0
58,U_WX697,69,0
59,U_WX699,67,0
60,U_WX701,82,0
61,U_WX703,84,0
62,U_WX705,84,0
63,U_WX707,68,0
64,U_WX709,43,0
65,U_WX711,49,0
66,U_WX713,52,0
67,U_WX715,54,0
68,U_WX717,54,0
69,U_WX719,34,0
70,U_WX721,49,0
71,U_WX723,49,0
72,U_WX725,49,0
73,U_WX727,37,0
74,U_WX729,42,0
75,U_WX731,21,0
76,U_WX733,15,0
77,U_WX735,36,0
78,U_WX737,15,0
79,U_WX739,29,0
80,U_WX741,40,0
81,U_WX743,28,0
82,U_WX745,3,0
83,U_WX747,43,0
84,U_WX749,3,0
