ff_index,ff_name,timing_score,is_non_scan
0,U_n673gat,4,0
1,U_n398gat,0,0
2,U_n402gat,0,0
3,U_n919gat,0,0
4,U_n846gat,0,0
5,U_n394gat,0,0
6,U_n703gat,0,0
7,U_n722gat,0,0
8,U_n726gat,0,0
9,U_n2510gat,6,0
10,U_n271gat,0,0
11,U_n160gat,0,0
12,U_n337gat,0,0
13,U_n842gat,0,0
14,U_n341gat,0,0
15,U_n2522gat,6,0
16,U_n2472gat,4,0
17,U_n2319gat,1,0
18,U_n1821gat,2,0
19,U_n1825gat,2,0
20,U_n2029gat,3,0
21,U_n1829gat,1,0
22,U_n283gat,0,0
23,U_n165gat,0,0
24,U_n279gat,0,0
25,U_n1026gat,0,0
26,U_n275gat,0,0
27,U_n2476gat,6,0
28,U_n1068gat,5,0
29,U_n957gat,5,0
30,U_n861gat,5,0
31,U_n1294gat,4,0
32,U_n1241gat,5,0
33,U_n1298gat,4,0
34,U_n865gat,5,0
35,U_n1080gat,5,0
36,U_n1148gat,5,0
37,U_n2468gat,6,0
38,U_n618gat,0,0
39,U_n491gat,0,0
40,U_n622gat,0,0
41,U_n626gat,0,0
42,U_n834gat,14,0
43,U_n707gat,12,0
44,U_n838gat,14,0
45,U_n830gat,15,0
46,U_n614gat,12,0
47,U_n2526gat,6,0
48,U_n680gat,11,0
49,U_n816gat,11,0
50,U_n580gat,11,0
51,U_n824gat,12,0
52,U_n820gat,15,0
53,U_n883gat,12,0
54,U_n584gat,11,0
55,U_n684gat,14,0
56,U_n699gat,14,0
57,U_n2464gat,6,0
58,U_n2399gat,11,0
59,U_n2343gat,11,0
60,U_n2203gat,11,0
61,U_n2562gat,11,0
62,U_n2207gat,11,0
63,U_n2626gat,15,0
64,U_n2490gat,15,0
65,U_n2622gat,15,0
66,U_n2630gat,15,0
67,U_n2543gat,15,0
68,U_n2102gat,2,0
69,U_n1880gat,4,0
70,U_n1763gat,7,0
71,U_n2155gat,5,0
72,U_n1035gat,11,0
73,U_n1121gat,11,0
74,U_n1072gat,11,0
75,U_n1282gat,13,0
76,U_n1226gat,13,0
77,U_n931gat,11,0
78,U_n1135gat,12,0
79,U_n1045gat,12,0
80,U_n1197gat,11,0
81,U_n2518gat,9,0
82,U_n667gat,24,0
83,U_n659gat,24,0
84,U_n553gat,24,0
85,U_n777gat,24,0
86,U_n561gat,24,0
87,U_n366gat,24,0
88,U_n322gat,24,0
89,U_n318gat,24,0
90,U_n314gat,24,0
91,U_n2599gat,9,0
92,U_n2588gat,4,0
93,U_n2640gat,12,0
94,U_n2658gat,7,0
95,U_n2495gat,9,0
96,U_n2390gat,8,0
97,U_n2270gat,8,0
98,U_n2339gat,8,0
99,U_n2502gat,6,0
100,U_n2634gat,16,0
101,U_n2506gat,7,0
102,U_n1834gat,6,0
103,U_n1767gat,6,0
104,U_n2084gat,3,0
105,U_n2143gat,1,0
106,U_n2061gat,1,0
107,U_n2139gat,1,0
108,U_n1899gat,1,0
109,U_n1850gat,1,0
110,U_n2403gat,2,0
111,U_n2394gat,1,0
112,U_n2440gat,1,0
113,U_n2407gat,1,0
114,U_n2347gat,1,0
115,U_n1389gat,9,0
116,U_n2021gat,10,0
117,U_n1394gat,7,0
118,U_n1496gat,1,0
119,U_n2091gat,8,0
120,U_n1332gat,7,0
121,U_n1740gat,1,0
122,U_n2179gat,8,0
123,U_n2190gat,1,0
124,U_n2135gat,1,0
125,U_n2262gat,1,0
126,U_n2182gat,8,0
127,U_n1433gat,13,0
128,U_n1316gat,1,0
129,U_n1363gat,1,0
130,U_n1312gat,1,0
131,U_n1775gat,8,0
132,U_n1871gat,17,0
133,U_n2592gat,1,0
134,U_n1508gat,5,0
135,U_n1678gat,4,0
136,U_n2309gat,16,0
137,U_n2450gat,1,0
138,U_n2446gat,5,0
139,U_n2095gat,9,0
140,U_n2176gat,1,0
141,U_n2169gat,1,0
142,U_n2454gat,15,0
143,U_n2040gat,8,0
144,U_n2044gat,1,0
145,U_n2037gat,1,0
146,U_n2025gat,15,0
147,U_n2099gat,1,0
148,U_n2266gat,1,0
149,U_n2033gat,1,0
150,U_n2110gat,1,0
151,U_n2125gat,1,0
152,U_n2121gat,1,0
153,U_n2117gat,1,0
154,U_n1975gat,1,0
155,U_n2644gat,1,0
156,U_n156gat,1,0
157,U_n152gat,1,0
158,U_n331gat,1,0
159,U_n388gat,1,0
160,U_n463gat,1,0
161,U_n327gat,1,0
162,U_n384gat,1,0
163,U_n256gat,1,0
164,U_n470gat,1,0
165,U_n148gat,1,0
166,U_n2458gat,1,0
167,U_n2514gat,1,0
168,U_n1771gat,8,0
169,U_n1336gat,6,0
170,U_n1748gat,15,0
171,U_n1675gat,5,0
172,U_n1807gat,5,0
173,U_n1340gat,7,0
174,U_n1456gat,15,0
175,U_n1525gat,4,0
176,U_n1462gat,7,0
177,U_n1596gat,7,0
178,U_n1588gat,5,0
