ff_index,ff_name,timing_score,is_non_scan
0,U_State_5,11,0
1,U_State_4,13,0
2,U_State_3,10,0
3,U_State_2,10,0
4,U_State_1,15,0
5,U_State_0,15,0
6,U_ActRtHS1,10,0
7,U_ActBmHS1,13,0
8,U_GoRtHS1,15,0
9,U_GoBmHS1,13,0
10,U_NewTrHS1,9,0
11,U_ReRtTSHS1,7,0
12,U_Mode0HS1,10,0
13,U_Mode1HS1,9,0
14,U_Mode2HS1,6,0
15,U_NewLineHS1,12,0
16,U_ShftORHS1,10,0
17,U_ShftIRHS1,8,0
18,U_LxHInHS1,12,0
19,U_TxHInHS1,11,0
20,U_LoadOHHS1,13,0
21,U_LoadIHHS1,16,0
22,U_SeOutAvHS1,2,0
23,U_SeFullOHS1,15,0
24,U_SeFullIHS1,16,0
25,U_TgWhBufHS1,2,0
26,U_ReWhBufHS1,1,0
27,U_LdProgHS1,5,0
28,U_DumpIHS1,14,0
